username,repo_name,stars,repo_url
ljianshu,Blog,7200,http://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,http://github.com/metafizzy/infinite-scroll
developit,unfetch,5400,http://github.com/developit/unfetch
jquery-form,form,5100,http://github.com/jquery-form/form
olifolkerd,tabulator,4800,http://github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,http://github.com/Studio-42/elFinder
ded,reqwest,2900,http://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,http://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,http://github.com/elbywan/wretch
LeaVerou,bliss,2400,http://github.com/LeaVerou/bliss
wendux,ajax-hook,2100,http://github.com/wendux/ajax-hook
noelboss,featherlight,2100,http://github.com/noelboss/featherlight
yisainan,web-interview,2100,http://github.com/yisainan/web-interview
craftpip,jquery-confirm,1800,http://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,http://github.com/ptaoussanis/sente
nette,tracy,1500,http://github.com/nette/tracy
joaomilho,Enterprise,1500,http://github.com/joaomilho/Enterprise
loadingio,css-spinner,1400,http://github.com/loadingio/css-spinner
MoOx,pjax,1300,http://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1300,http://github.com/codingforentrepreneurs/eCommerce
k8w,tsrpc,1200,http://github.com/k8w/tsrpc
danielm,uploader,1100,http://github.com/danielm/uploader
swlib,saber,961,http://github.com/swlib/saber
proyecto26,RestClient,950,http://github.com/proyecto26/RestClient
opensource-socialnetwork,opensource-socialnetwork,877,http://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,863,http://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,710,http://github.com/rapidjs/rapid.js
karosLi,KKJSBridge,592,http://github.com/karosLi/KKJSBridge
cferdinandi,atomic,539,http://github.com/cferdinandi/atomic
GoogTech,sms-ssm,525,http://github.com/GoogTech/sms-ssm
